t,p,Np,Gp,Wp,Bo
10-Jan-1973,12723,,,,2.295
16-Jul-1973,12936,2867.258065,291778000,0,2.295
5-Jan-1974,12708,7954.870968,835002000,0,2.295
20-May-1974,12526,11038.09677,1180832000,0,2.299
21-Dec-1974,12232,15043.3871,1633302000,0,2.307
1-Jun-1975,11875,20143.2,2220830000,0,2.317
18-Jul-1975,11929,21918.93548,2429850000,0,2.316
30-Jun-1976,11747,32426,3597292000,287,2.321
30-Nov-1976,11479,39900,4407658000,3866,2.331
11-Jun-1977,10740,49207.13333,5410004000,7672.1,2.359
5-Dec-1977,10631,56158.48387,6160540000,9980.83871,2.364
24-Jun-1978,10620,64743.2,7188054000,17318.2,2.365
2-Dec-1978,10593,67705.67742,7501650000,18294.35484,2.366
22-Jun-1979,10243,76495.66667,8649812000,30281.73333,2.383
10-Dec-1979,10189,85041.22581,9880302000,34941.45161,2.385
19-May-1980,10189,93222.16129,10871753000,38412.09677,2.385
8-Jul-1980,10189,95536.19355,11144815000,39588.93548,2.385
13-Jan-1981,10189,104584.5161,12417530000,43148.32258,2.385
16-Jul-1981,10189,111556.1613,13465426000,46941.32258,2.385
11-Nov-1981,10189,116153.7333,14264749000,49848.06667,2.385
16-May-1982,9319,125596.4839,15428480000,54246.77419,2.434
15-Dec-1982,8106,133049.0323,16758537000,58928.25806,2.523
16-May-1983,3997,134542.6129,17610363000,87119.3871,1.376
9-Aug-1983,7490,134627.4839,17698868000,112437.1613,2.574
9-Nov-1983,5286,135114.2,17872524000,140560.1,1.576
23-May-1984,5286,136007.4516,18130900000,182403.9677,1.576
3-Dec-1984,5286,137213.4516,18318010000,213777.5484,1.576
6-Jun-1985,5286,138480,18466844000,291932,1.576
13-Dec-1985,5286,138723,18505006000,321263,1.576
14-Apr-1986,5286,138723,18505069000,321263,1.576
